"","pval","int"
"16489_gph","0.000186926423027505","19.0165898949492"
"17560_thrB","0.000752634108448298","5.40159973338952"
"15460_hypothetical_protein","0.0012322775210068","-1.64869611376888"
"16925_hypothetical_protein","0.00170369314563776","-4.62960906379681"
"17254_groL","0.00407235404549098","11.381112532281"
"18964_nhoA","0.00412293326263478","0.853296336058906"
"16043_rpiA","0.00483055567289448","-7.53084061530659"
"16719_hypothetical_protein","0.00515144822772693","-1.88558539818704"
"18141_ybdK","0.00565882686961088","0.312698055541709"
"15720_nadB","0.006279851802891","0.915507023320976"
"14987_aspS","0.00979548673174249","9.19428469310243"
"17193_Sel1_repeat_protein","0.0104090827734975","-1.11903662696556"
"15647_ppx","0.0127186609775931","-8.63829587497029"
"18696_minE","0.013448853985027","10.681780169197"
"14864_cho","0.0153158090697311","0.135675968656297"
"17837_yafP","0.0154009524666338","0.468727336872766"
"15859_cysD","0.0154805062895795","-0.360027383812401"
"17383_intA_2","0.0155999113947903","-0.988424104239499"
"18368_yheS_2","0.0187519356895061","9.05528855517836"
"15855_ftsB","0.0200424972182454","17.5767265985608"
"16411_rsmB","0.0202062133668812","9.37465519894009"
"16888_ilvG","0.0208724481152154","6.69441084565958"
"18313_pgl","0.0217235461688353","7.0517760304966"
"17455_yjiE","0.0230809614512774","-3.34296193289165"
"15607_acrB_2","0.0234517771324251","13.0167431786973"
"15883_mazG","0.0235674743130149","7.74188418639011"
"17784_gmhA","0.0236207879585593","-5.51792322677164"
"18772_oppF_2","0.0245124265650248","-1.08000259958658"
"16525_malT","0.0259209371529194","9.10216513523882"
"16809_ibpB","0.0262627791222766","-0.975973616094966"
"15572_fabG_2","0.026495127860729","-1.53549793742396"
"17086_trmA","0.0270017532089105","9.41569424361583"
"15819_hycI","0.0270604558512675","0.737622841467276"
"17218_hypothetical_protein","0.0274268389562663","6.08761421667932"
"16051_26_kDa_periplasmic_immunogenic_protein_precursor","0.0283881896169909","6.4181660333929"
"18327_moaA","0.0287841134568659","4.52244559399581"
"17127_iclR","0.0296525241339444","-2.12460056866509"
"15383_menB","0.031113914888473","12.7244370427705"
"15387_hypothetical_protein","0.0312189262181616","6.17899570731309"
"17961_sbmA","0.0328529529525366","-1.76801718246686"
"16921_hemD","0.0330042547785237","13.3085262602578"
"16904_wecA_2","0.0338533207693129","11.8948957605564"
"18518_tusE","0.0365469239068395","-1.87743828298791"
"15650_hypothetical_protein","0.0369342070114723","-1.63011992235609"
"18403_Putative_bacterial_sensory_transduction_regulator","0.0369529365205568","-19.618407583569"
"15792_emrA","0.0369855642326817","8.31865006442947"
"15856_ygbE","0.0372739030075058","-0.0176507467818073"
"14895_yeaD","0.0381600439695137","-9.22269973543755"
"15620_gcvR","0.0384996674152538","-9.09292635086092"
"17027_walR","0.0385189228346866","6.301900475112"
"16204_rpoD","0.0402262553457454","11.221019682672"
"15133_sbcB","0.0409330331805702","11.6609502593824"
"15267_pbpG_1","0.0410026226159908","-7.22921928005496"
"17765_dnaQ","0.0411599658228928","-15.9844477662543"
"16311_glmM","0.0416359116994913","8.91552037914882"
"16370_Barstar_-barnase_inhibitor-","0.0418660406783833","0.945979504379386"
"16312_folP","0.0420296072440409","7.17860010066995"
"15745_Outer_membrane_protein_Omp38_precursor","0.0429839770759285","-0.131084041572994"
"16529_glpR_2","0.043738338202304","-16.0991900742667"
"18355_rlmF","0.0445246283532266","0.0825436765013361"
"18601_moeZ","0.0447768380252917","-1.85644245156867"
"17573_nhaA","0.0453713906726556","5.5712970312298"
"18181_citC","0.0455827739810765","1.60883744576844"
"15735_yfiH","0.0458768770442052","13.6594549857144"
"16882_hsrA","0.0464234954464801","0.0387361625219349"
"17057_hypothetical_protein","0.0477449353990235","-0.221581357537541"
"16561_livF","0.049380301122597","1.094778768372"
"17570_dnaK_2","0.0496956110117187","11.0145993228343"
