"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sym","KO","bnum"
"16828_yidC",5529.96482584354,2.24884405468761,0.183110163362835,12.2813721171309,1.14047424896309e-34,3.89144333403627e-33,"yidC","K03217","b3705"
"17093_preprotein_translocase_subunit_SecE",3916.43949300084,1.22648633586379,0.135182986658941,9.07278620022015,1.16011771813284e-19,1.00090156233392e-18,"secE","K03073","b3981"
"17990_preprotein_translocase_subunit_SecD",3121.58504454333,1.15188696992776,0.121238350089014,9.50101159478036,2.07861110518286e-21,2.14904338230063e-20,"secD","K03072","b0408"
"16310_secG",3100.21495442035,1.01067195446282,0.261125208539567,3.87044958284706,0.000108634823195049,0.000222425800027834,"secG","K03075","b3175"
"15750_ffh",1989.2021612936,0.789085347571562,0.550606904401929,1.43311923854037,0.151823764341434,0.188517646839835,"ffh",NA,"b2610"
"17989_preprotein_translocase_subunit_YajC",1934.99918460687,0.780503929844688,0.162754565850148,4.79558853398508,1.62197912379217e-06,4.15798336857378e-06,"yajC","K03210","b0407"
"15896_SecY_interacting_protein_Syd",613.265392353945,0.731978161949422,0.105025384902971,6.96953562822613,3.17988838847722e-12,1.45983132990275e-11,"syd",NA,"b0407"
"16955_tatC",351.14069417015,0.723392546547451,0.157057916620267,4.60589674251481,4.10692155175623e-06,9.99563980787362e-06,"tatC","K03118","b3839"
"17653_secM",1719.17150614193,0.593563886928047,0.16707926607444,3.55258854598747,0.000381460612185615,0.000728560650143824,"secM",NA,"b0097"
"16953_tatA",2084.9058931932,0.415796944020671,0.154091330581403,2.69837986635475,0.00696778816695929,0.0109644062853661,"tatA","K03116","b3836"
"16954_tatB",1111.02788049299,0.341791460618527,0.111843884602377,3.05596914693773,0.00224334338867713,0.00383653120879712,"tatB","K03117","b3838"
"16174_tolC",3308.30885167885,0.00890062185259869,0.185412348355277,0.048004471824842,0.961712678716829,0.969375976899057,"tolC","K12340","b3035"
"16728_secB",1987.36352688724,-0.0464457317167597,0.162320624111441,-0.286135738887206,0.774774159670766,0.806358131238043,"secB","K03071","b3609"
"18189_tatE",2772.43176421733,-0.112625915573983,0.216940011676518,-0.519156953591026,0.603651294561226,0.64932740283413,"tatE","K03425","b0627"
