"goid","name","refnum","interestnum","pvalue","adjustp","FinalResult"
"GO:0005975","carbohydrate metabolic process",151,85,8.91873216859462e-05,0.0286776540751511,"Final"
"GO:0006412","translation",69,51,2.83735228645554e-08,5.01783585404191e-05,"Final"
"GO:0006518","peptide metabolic process",70,51,6.4850427472507e-08,5.7343742910401e-05,"Local"
"GO:0010467","gene expression",79,55,2.40348468238949e-07,0.00017002177236159,"Local"
"GO:0019538","protein metabolic process",86,57,1.97082652586555e-06,0.000871347915695275,"Local"
"GO:0043043","peptide biosynthetic process",70,51,6.4850427472507e-08,5.7343742910401e-05,"Local"
"GO:0043603","cellular amide metabolic process",82,53,1.59650479116813e-05,0.00627423674021309,"Local"
"GO:0043604","amide biosynthetic process",77,53,7.70620865786498e-07,0.00038938203345172,"Local"
"GO:0044238","primary metabolic process",438,219,2.04558332494997e-08,5.01783585404191e-05,"Local"
"GO:0044267","cellular protein metabolic process",83,57,2.94227870845098e-07,0.000173446581005899,"Local"
"GO:0071704","organic substance metabolic process",512,238,6.58019421648781e-05,0.0232740464577972,"Local"
